,Bal,Brick,Dist,District,Floor,Kitsp,Livesp,Metrdist,New,Nfloors,Price,Totsp,Walk,lat,lon,rooms
6284,1,,18640.088817866563,8,2,–,–,5,1,2,3687222,38.2,0.0,55.632071,37.416352,1
6285,1,,18640.088817866563,8,3,–,–,5,1,2,3756660,38.1,0.0,55.632071,37.416352,1
6286,1,,18640.088817866563,8,2,–,–,5,1,1,3807932,38.6,0.0,55.632071,37.416352,1
6287,1,,18640.088817866563,8,7,–,–,5,1,2,3820656,38.4,0.0,55.632071,37.416352,1
6288,1,0.0,18640.088817866563,8,3,10.6,14.4,10,1,2,3828836,38.1,0.0,55.632071,37.416352,1
6289,1,0.0,18640.088817866563,8,3,10.6,14.4,10,1,2,3841914,38.2,0.0,55.632071,37.416352,1
6290,1,,18640.088817866563,8,5,–,–,5,1,2,3844932,38.2,0.0,55.632071,37.416352,1
6291,1,,18640.088817866563,8,5,–,–,5,1,2,3857004,38.3,0.0,55.632071,37.416352,1
6292,1,0.0,18640.088817866563,8,6,10.6,14.4,10,1,2,3885184,38.2,0.0,55.632071,37.416352,1
6293,1,0.0,18640.088817866563,8,1,10.6,14.4,10,1,9,3885172,38.6,0.0,55.632071,37.416352,1
6294,1,0.0,25103.713362924515,8,9,10,21,15,0,1,3890000,37,0.0,55.614633,37.304626,1
6295,1,0.0,18640.088817866563,8,1,10.6,14.5,10,1,1,3951126,38.5,0.0,55.632071,37.416352,1
6296,1,0.0,18640.088817866563,8,1,10.6,14.5,10,1,5,3959334,38.6,0.0,55.632071,37.416352,1
6297,1,,18640.088817866563,8,1,–,–,5,1,8,3964464,38.6,0.0,55.632071,37.416352,1
6298,1,,18640.088817866563,8,1,–,–,5,1,7,3974724,38.7,0.0,55.632071,37.416352,1
6299,1,,18640.088817866563,8,2,–,–,5,1,4,4046974,38.7,0.0,55.632071,37.416352,1
6300,1,1.0,8631.014060920557,8,1,–,34.6,,0,3,30000000,60.6,,55.713344,37.501806,1
6301,1,1.0,11230.808247478542,8,1,–,195,5,0,8,70000000,244.7,0.0,55.724271,37.44691,4
6302,1,1.0,11522.432141483006,8,4,20,112,17,0,1,94561344,148,1.0,55.720798,37.444099,3
6303,0,,21333.821218180416,8,3,–,15,26,0,3,1399222,15.2,0.0,55.646289,37.337639,1
6304,0,1.0,20866.771082872798,8,3,5,10.3,15,1,3,1399333,15.3,0.0,55.651236,37.340662,1
6305,0,1.0,20866.771082872798,8,1,–,20,17,1,3,1599111,20.1,0.0,55.651236,37.340662,1
6306,0,1.0,20989.368212358444,8,1,5,15.4,23,0,3,1599444,20.4,0.0,55.650643,37.339014,1
6307,0,1.0,19797.827352347384,8,3,6,32.1,15,0,3,2999111,38.1,0.0,55.655473,37.356154,2
6308,1,0.0,18640.088817866563,8,1,8.8,15.1,10,1,1,3563700,33.9,0.0,55.632071,37.416352,1
